epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.709,0.05,37.47,50.71,0:01:20.914181,0:00:06.346218
2,1.213,0.04999691581204152,56.21,58.81,0:01:20.852776,0:00:06.523993
3,0.961,0.04998766400914329,66.10,67.70,0:01:21.178616,0:00:06.593486
4,0.771,0.049972246874049255,72.89,73.52,0:01:21.219925,0:00:06.545239
5,0.664,0.049950668210706796,77.10,76.64,0:01:21.475379,0:00:06.571854
6,0.595,0.04992293334332821,79.47,76.70,0:01:21.163183,0:00:06.612684
7,0.545,0.04988904911507701,81.24,81.32,0:01:21.087835,0:00:06.536152
8,0.519,0.049849023886379504,82.08,81.64,0:01:21.036429,0:00:06.570168
9,0.501,0.04980286753286196,82.86,82.35,0:01:21.136362,0:00:06.543476
10,0.481,0.049750591442913945,83.51,81.77,0:01:21.307388,0:00:06.272789
11,0.462,0.049692208514878454,84.12,78.62,0:01:21.075615,0:00:06.242186
12,0.446,0.049627733153869355,84.59,82.17,0:01:21.049680,0:00:06.256557
13,0.437,0.049557181268217225,84.91,83.41,0:01:20.994198,0:00:06.613520
14,0.425,0.04948057026554415,85.64,82.11,0:01:21.280150,0:00:06.306819
15,0.419,0.04939791904846869,85.62,81.76,0:01:21.386651,0:00:06.323445
16,0.410,0.04930924800994192,85.98,84.17,0:01:21.378462,0:00:06.618966
17,0.404,0.049214579028215785,86.22,82.60,0:01:21.332019,0:00:06.305567
18,0.391,0.04911393546144496,86.59,84.74,0:01:21.318317,0:00:06.603558
19,0.390,0.049007342141923586,86.63,82.19,0:01:21.361879,0:00:06.301156
20,0.380,0.04889482536995826,86.96,83.31,0:01:21.273465,0:00:06.321414
21,0.375,0.04877641290737885,87.38,84.45,0:01:21.336135,0:00:06.300472
22,0.375,0.04865213397068864,87.32,83.60,0:01:21.248893,0:00:06.312622
23,0.369,0.04852201922385564,87.45,84.08,0:01:21.347614,0:00:06.305103
24,0.362,0.04838610077074669,87.72,79.78,0:01:21.299812,0:00:06.302364
25,0.363,0.04824441214720629,87.63,85.12,0:01:21.201831,0:00:06.549266
26,0.360,0.048096988312782175,87.82,86.63,0:01:20.993593,0:00:06.568600
27,0.359,0.04794386564209953,87.81,86.49,0:01:21.038223,0:00:06.259099
28,0.348,0.04778508191588613,88.13,84.25,0:01:20.997776,0:00:06.272259
29,0.354,0.04762067631165049,87.97,84.40,0:01:20.985718,0:00:06.260013
30,0.346,0.047450689394015394,88.39,84.04,0:01:21.086736,0:00:06.247562
31,0.344,0.0472751631047092,88.31,85.91,0:01:21.322406,0:00:06.264065
32,0.343,0.04709414075221735,88.35,85.23,0:01:20.967510,0:00:06.241435
33,0.343,0.046907667001096595,88.34,85.36,0:01:20.905563,0:00:06.240541
34,0.335,0.04671578786095479,88.69,86.18,0:01:20.985426,0:00:06.259444
35,0.332,0.0465185506750986,88.64,82.56,0:01:21.005897,0:00:06.255473
36,0.333,0.04631600410885232,88.69,85.19,0:01:21.031121,0:00:06.235667
37,0.330,0.04610819813755039,88.82,86.40,0:01:20.858186,0:00:06.243177
38,0.327,0.045895184034206775,88.83,86.35,0:01:20.865672,0:00:06.258191
39,0.324,0.04567701435686406,88.93,87.23,0:01:20.914061,0:00:06.552524
40,0.323,0.0454537429356256,89.00,87.37,0:01:21.091037,0:00:06.533109
41,0.318,0.045225424859373704,89.14,86.14,0:01:20.889564,0:00:06.260763
42,0.319,0.04499211646217729,89.08,86.30,0:01:21.027925,0:00:06.256804
43,0.317,0.044753875309392274,89.23,85.88,0:01:20.929938,0:00:06.256113
44,0.319,0.044510760183458266,89.25,84.68,0:01:21.016323,0:00:06.239933
45,0.314,0.044262831069394756,89.41,87.27,0:01:20.853154,0:00:06.241782
46,0.306,0.0440101491400008,89.58,85.10,0:01:20.867435,0:00:06.258431
47,0.306,0.043752776740761515,89.60,86.11,0:01:21.020804,0:00:06.240380
48,0.309,0.04349077737446526,89.39,87.27,0:01:21.051929,0:00:06.258070
49,0.304,0.043224215685535305,89.57,86.48,0:01:21.005720,0:00:06.277951
50,0.297,0.04295315744407974,89.94,85.60,0:01:20.988961,0:00:06.260705
51,0.303,0.0426776695296637,89.68,84.79,0:01:21.191506,0:00:06.386636
52,0.296,0.04239781991480787,90.01,85.52,0:01:21.162119,0:00:06.268466
53,0.299,0.04211367764821723,89.78,86.11,0:01:21.066274,0:00:06.244292
54,0.295,0.04182531283774434,89.99,86.86,0:01:20.898788,0:00:06.243328
55,0.286,0.041532796633091305,90.39,88.05,0:01:20.890764,0:00:06.550465
56,0.294,0.0412362012082546,90.05,87.17,0:01:21.037922,0:00:06.259777
57,0.287,0.04093559974371725,90.36,86.24,0:01:21.039233,0:00:06.259576
58,0.282,0.04063106640839264,90.40,86.25,0:01:21.036698,0:00:06.260220
59,0.284,0.04032267634132442,90.26,86.89,0:01:21.006450,0:00:06.260209
60,0.281,0.040010505633147106,90.52,85.74,0:01:21.053493,0:00:06.259853
61,0.286,0.03969463130731184,90.20,85.84,0:01:21.027580,0:00:06.239460
62,0.282,0.03937513130108197,90.41,86.98,0:01:20.889921,0:00:06.240318
63,0.278,0.03905208444630328,90.57,87.78,0:01:20.867274,0:00:06.237794
64,0.279,0.038725570449953305,90.48,88.45,0:01:20.896357,0:00:06.552424
65,0.273,0.03839566987447492,90.63,86.04,0:01:21.017871,0:00:06.241559
66,0.270,0.03806246411789873,90.83,87.26,0:01:20.919290,0:00:06.259463
67,0.267,0.037726035393759294,90.90,88.22,0:01:21.072873,0:00:06.240080
68,0.266,0.0373864667108102,90.90,84.93,0:01:21.056345,0:00:06.256542
69,0.271,0.03704384185254289,90.74,88.31,0:01:21.003952,0:00:06.268817
70,0.261,0.03669824535651435,91.16,87.87,0:01:21.059391,0:00:06.277112
71,0.265,0.03634976249348868,90.89,88.98,0:01:21.001612,0:00:06.530671
72,0.258,0.03599847924639789,91.27,86.86,0:01:21.320768,0:00:06.266401
73,0.253,0.03564448228912683,91.49,87.55,0:01:21.097983,0:00:06.268156
74,0.255,0.03528785896512774,91.33,89.50,0:01:20.998825,0:00:06.530430
75,0.251,0.03492869726586953,91.43,86.74,0:01:21.015898,0:00:06.237683
76,0.243,0.03456708580912726,91.68,88.18,0:01:20.949274,0:00:06.242177
77,0.253,0.03420311381711697,91.36,86.91,0:01:20.920209,0:00:06.257218
78,0.246,0.03383687109448145,91.66,87.59,0:01:21.014951,0:00:06.259833
79,0.241,0.03346844800613231,91.76,88.25,0:01:21.061527,0:00:06.240826
80,0.242,0.03309793545495376,91.77,89.31,0:01:20.981859,0:00:06.242496
81,0.246,0.03272542485937371,91.49,89.47,0:01:20.906803,0:00:06.235354
82,0.230,0.03235100813080762,92.10,87.94,0:01:20.885997,0:00:06.255153
83,0.238,0.03197477765098076,91.85,88.08,0:01:20.985386,0:00:06.256035
84,0.234,0.03159682624913434,92.04,88.87,0:01:20.987835,0:00:06.244195
85,0.227,0.031217247179121384,92.26,88.13,0:01:20.944878,0:00:06.240270
86,0.228,0.03083613409639766,92.23,88.01,0:01:20.921427,0:00:06.255638
87,0.226,0.03045358103491359,92.27,89.00,0:01:21.036163,0:00:06.263697
88,0.226,0.03006968238391284,92.26,89.46,0:01:21.036956,0:00:06.260770
89,0.227,0.029684532864643145,92.29,88.18,0:01:21.026351,0:00:06.261427
90,0.220,0.02929822750698526,92.49,87.63,0:01:21.013231,0:00:06.244092
91,0.215,0.028910861626005795,92.70,89.93,0:01:20.958014,0:00:06.565358
92,0.217,0.028522530798439593,92.68,89.59,0:01:21.030756,0:00:06.244519
93,0.214,0.028133330839107632,92.75,88.05,0:01:21.301735,0:00:06.237931
94,0.204,0.027743357777276153,93.07,88.09,0:01:21.002259,0:00:06.243614
95,0.211,0.027352707832962876,92.83,89.36,0:01:21.011326,0:00:06.240264
96,0.206,0.026961477393196143,92.91,90.13,0:01:20.897424,0:00:06.532986
97,0.199,0.026569762988232853,93.18,88.98,0:01:20.874922,0:00:06.240247
98,0.203,0.02617766126774108,93.09,89.45,0:01:20.906074,0:00:06.235572
99,0.194,0.025785268976953223,93.33,89.88,0:01:20.906530,0:00:06.257908
100,0.189,0.02539268293279553,93.64,90.35,0:01:21.025516,0:00:06.521484
101,0.196,0.025000000000000012,93.35,90.08,0:01:20.995982,0:00:06.263062
102,0.187,0.0246073170672045,93.60,89.12,0:01:21.043470,0:00:06.243402
103,0.184,0.024214731023046804,93.70,90.13,0:01:20.952900,0:00:06.256402
104,0.186,0.023822338732258946,93.73,89.89,0:01:21.031236,0:00:06.245465
105,0.183,0.023430237011767177,93.79,88.86,0:01:20.901784,0:00:06.260279
106,0.177,0.02303852260680389,93.91,89.30,0:01:20.983730,0:00:06.256231
107,0.176,0.022647292167037154,94.02,90.38,0:01:20.988626,0:00:06.531615
108,0.171,0.02225664222272388,94.18,90.05,0:01:20.879285,0:00:06.255649
109,0.175,0.02186666916089241,94.03,89.58,0:01:20.963356,0:00:06.268883
110,0.165,0.02147746920156045,94.44,90.66,0:01:20.939509,0:00:06.554584
111,0.166,0.021089138373994242,94.51,89.32,0:01:21.102249,0:00:06.269970
112,0.164,0.02070177249301477,94.39,90.53,0:01:21.041414,0:00:06.271285
113,0.157,0.0203154671353569,94.67,91.16,0:01:21.374774,0:00:06.635132
114,0.161,0.019930317616087205,94.57,90.32,0:01:21.100988,0:00:06.257088
115,0.156,0.019546418965086458,94.65,90.87,0:01:21.098129,0:00:06.239158
116,0.144,0.019163865903602376,95.08,90.33,0:01:21.062674,0:00:06.261453
117,0.151,0.018782752820878643,94.96,89.16,0:01:21.067947,0:00:06.259856
118,0.141,0.01840317375086569,95.19,90.91,0:01:21.062852,0:00:06.263620
119,0.142,0.018025222349019283,95.19,90.78,0:01:21.064645,0:00:06.260542
120,0.139,0.017648991869192415,95.26,91.12,0:01:20.934855,0:00:06.261560
121,0.133,0.017274575140626334,95.49,89.72,0:01:20.998262,0:00:06.239212
122,0.136,0.016902064545046273,95.38,90.94,0:01:20.886934,0:00:06.240891
123,0.131,0.016531551993867726,95.57,91.43,0:01:20.915233,0:00:06.551709
124,0.127,0.016163128905518586,95.71,90.96,0:01:21.072877,0:00:06.259699
125,0.121,0.015796886182883066,95.83,91.31,0:01:21.084927,0:00:06.260374
126,0.119,0.015432914190872771,95.94,90.16,0:01:20.906340,0:00:06.256949
127,0.121,0.01507130273413049,95.87,91.37,0:01:20.951825,0:00:06.244307
128,0.119,0.01471214103487229,95.96,91.70,0:01:21.088820,0:00:06.562040
129,0.112,0.014355517710873194,96.15,91.21,0:01:21.011899,0:00:06.236062
130,0.109,0.01400152075360213,96.29,90.62,0:01:21.042357,0:00:06.308990
131,0.108,0.01365023750651134,96.30,91.70,0:01:21.058924,0:00:06.266066
132,0.103,0.013301754643485679,96.49,90.97,0:01:21.524970,0:00:06.303241
133,0.098,0.012956158147457122,96.79,91.96,0:01:21.160653,0:00:06.574707
134,0.097,0.012613533289189816,96.71,91.62,0:01:21.406339,0:00:06.263416
135,0.094,0.012273964606240723,96.82,91.49,0:01:21.083433,0:00:06.261242
136,0.088,0.011937535882101285,97.04,91.44,0:01:21.128831,0:00:06.263613
137,0.094,0.011604330125525083,96.79,91.18,0:01:21.146107,0:00:06.266762
138,0.087,0.011274429550046707,97.10,91.07,0:01:21.099727,0:00:06.259860
139,0.081,0.010947915553696737,97.28,90.12,0:01:21.003290,0:00:06.267098
140,0.083,0.01062486869891804,97.13,91.75,0:01:21.111166,0:00:06.245889
141,0.075,0.01030536869268818,97.49,92.56,0:01:20.937457,0:00:06.533248
142,0.075,0.009989494366852907,97.52,92.72,0:01:20.959329,0:00:06.564058
143,0.068,0.00967732365867559,97.72,92.51,0:01:20.962194,0:00:06.245845
144,0.067,0.009368933591607374,97.85,92.65,0:01:20.952568,0:00:06.245980
145,0.062,0.00906440025628276,97.97,92.04,0:01:21.100354,0:00:06.268294
146,0.058,0.008763798791745414,98.04,92.76,0:01:21.120711,0:00:06.536818
147,0.061,0.00846720336690871,97.98,92.69,0:01:20.913665,0:00:06.238206
148,0.059,0.008174687162255667,98.08,92.66,0:01:20.933983,0:00:06.242433
149,0.061,0.007886322351782785,97.94,93.12,0:01:20.945114,0:00:06.553788
150,0.049,0.007602180085192145,98.35,92.64,0:01:21.131474,0:00:06.273856
151,0.040,0.007322330470336316,98.77,92.90,0:01:21.085622,0:00:06.249832
152,0.042,0.007046842555920285,98.64,93.32,0:01:21.092465,0:00:06.536621
153,0.042,0.006775784314464719,98.58,93.23,0:01:21.037696,0:00:06.267135
154,0.043,0.006509222625534758,98.57,93.35,0:01:21.211540,0:00:06.742847
155,0.037,0.006247223259238513,98.78,93.17,0:01:21.249155,0:00:06.307052
156,0.038,0.0059898508599992295,98.77,93.38,0:01:21.164613,0:00:06.537522
157,0.034,0.005737168930605274,98.94,93.59,0:01:20.959218,0:00:06.539740
158,0.026,0.005489239816541763,99.18,93.78,0:01:20.975763,0:00:06.534241
159,0.027,0.005246124690607742,99.18,93.78,0:01:20.925628,0:00:06.247874
160,0.024,0.005007883537822737,99.24,93.47,0:01:20.902069,0:00:06.259597
161,0.023,0.004774575140626318,99.28,94.18,0:01:21.036245,0:00:06.538030
162,0.019,0.00454625706437442,99.43,93.98,0:01:20.970055,0:00:06.270771
163,0.021,0.004322985643135959,99.38,94.20,0:01:21.120767,0:00:06.545067
164,0.017,0.0041048159657932504,99.47,94.18,0:01:20.949977,0:00:06.271525
165,0.015,0.0038918018624496302,99.56,94.19,0:01:21.118251,0:00:06.268683
166,0.014,0.0036839958911477027,99.65,94.33,0:01:21.095658,0:00:06.554417
167,0.010,0.0034814493249014076,99.71,94.69,0:01:21.096232,0:00:06.597544
168,0.010,0.003284212139045219,99.72,94.43,0:01:21.056641,0:00:06.268479
169,0.008,0.003092332998903412,99.79,94.72,0:01:21.126372,0:00:06.559006
170,0.007,0.002905859247782665,99.82,94.75,0:01:20.962106,0:00:06.538988
171,0.005,0.0027248368952908068,99.90,95.05,0:01:21.157876,0:00:06.562038
172,0.005,0.002549310605984613,99.92,95.29,0:01:21.078918,0:00:06.575832
173,0.003,0.0023793236883495176,99.96,95.12,0:01:21.047809,0:00:06.280000
174,0.003,0.002214918084113875,99.97,95.12,0:01:21.034027,0:00:06.250639
175,0.004,0.0020561343579004786,99.94,95.10,0:01:21.272344,0:00:06.271866
176,0.003,0.0019030116872178384,99.98,95.22,0:01:21.140259,0:00:06.270984
177,0.003,0.0017555878527937174,99.96,95.15,0:01:21.044601,0:00:06.258505
178,0.003,0.0016138992292533167,99.96,95.20,0:01:21.091761,0:00:06.260986
179,0.002,0.0014779807761443645,99.98,95.12,0:01:20.936150,0:00:06.237009
180,0.002,0.0013478660293113683,99.97,95.24,0:01:20.932759,0:00:06.258641
181,0.002,0.0012235870926211624,99.99,95.34,0:01:20.897842,0:00:06.532322
182,0.002,0.0011051746300417477,99.98,95.40,0:01:20.999086,0:00:06.562615
183,0.002,0.0009926578580764268,99.99,95.56,0:01:20.941427,0:00:06.536496
184,0.002,0.0008860645385550515,99.99,95.39,0:01:20.928545,0:00:06.241010
185,0.002,0.0007854209717842264,99.99,95.41,0:01:20.999256,0:00:06.242507
186,0.002,0.0006907519900580866,99.99,95.45,0:01:21.053581,0:00:06.273770
187,0.002,0.0006020809515313173,100.00,95.42,0:01:21.065869,0:00:06.263157
188,0.002,0.0005194297344558538,99.99,95.52,0:01:21.077123,0:00:06.245455
189,0.002,0.00044281873178278225,100.00,95.59,0:01:20.929288,0:00:06.537580
190,0.002,0.0003722668461306535,99.99,95.51,0:01:20.951540,0:00:06.245310
191,0.002,0.0003077914851215587,99.99,95.53,0:01:20.924713,0:00:06.274037
192,0.002,0.00024940855708606175,99.99,95.53,0:01:21.114295,0:00:06.267764
193,0.002,0.00019713246713805603,99.99,95.63,0:01:21.051679,0:00:06.548673
194,0.002,0.00015097611362051023,99.98,95.59,0:01:21.017672,0:00:06.285924
195,0.002,0.00011095088492300018,99.99,95.54,0:01:21.051197,0:00:06.260248
196,0.002,7.706665667180096e-05,100.00,95.50,0:01:21.382688,0:00:06.243960
197,0.002,4.9331789293211064e-05,100.00,95.54,0:01:20.968807,0:00:06.262443
198,0.002,2.7753125950752432e-05,100.00,95.50,0:01:21.090082,0:00:06.242648
199,0.002,1.2335990856710008e-05,100.00,95.59,0:01:20.908157,0:00:06.241417
200,0.002,3.0841879584853094e-06,99.99,95.52,0:01:21.009602,0:00:06.242146
