epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.694,0.05,37.08,48.26,0:01:20.069663,0:00:06.268372
2,1.173,0.04999691581204152,57.72,61.99,0:01:20.091676,0:00:06.468115
3,0.929,0.04998766400914329,67.35,64.22,0:01:19.921277,0:00:06.459814
4,0.760,0.049972246874049255,73.70,74.70,0:01:20.084955,0:00:06.448786
5,0.654,0.049950668210706796,77.40,77.97,0:01:20.185292,0:00:06.476077
6,0.605,0.04992293334332821,79.27,78.04,0:01:20.006475,0:00:06.451598
7,0.560,0.04988904911507701,81.02,80.52,0:01:20.018064,0:00:06.447480
8,0.529,0.049849023886379504,82.13,82.47,0:01:20.211626,0:00:06.474896
9,0.507,0.04980286753286196,82.64,79.32,0:01:20.132848,0:00:06.166181
10,0.487,0.049750591442913945,83.56,79.40,0:01:20.111404,0:00:06.165797
11,0.468,0.049692208514878454,84.10,82.37,0:01:20.156027,0:00:06.188696
12,0.458,0.049627733153869355,84.53,77.83,0:01:20.520916,0:00:06.172520
13,0.444,0.049557181268217225,84.97,82.34,0:01:20.227538,0:00:06.187426
14,0.437,0.04948057026554415,85.27,81.80,0:01:20.174049,0:00:06.181313
15,0.426,0.04939791904846869,85.66,80.86,0:01:20.181437,0:00:06.185736
16,0.411,0.04930924800994192,86.12,80.65,0:01:20.164077,0:00:06.190107
17,0.413,0.049214579028215785,85.99,81.06,0:01:20.139517,0:00:06.166155
18,0.399,0.04911393546144496,86.33,84.50,0:01:20.055665,0:00:06.448160
19,0.393,0.049007342141923586,86.71,82.66,0:01:20.025265,0:00:06.161457
20,0.390,0.04889482536995826,86.75,83.24,0:01:19.998092,0:00:06.164470
21,0.384,0.04877641290737885,86.84,84.35,0:01:20.001180,0:00:06.168980
22,0.378,0.04865213397068864,87.04,85.90,0:01:20.133753,0:00:06.494479
23,0.374,0.04852201922385564,87.31,83.08,0:01:20.188397,0:00:06.185407
24,0.372,0.04838610077074669,87.31,83.90,0:01:20.144289,0:00:06.182726
25,0.365,0.04824441214720629,87.59,83.52,0:01:20.150051,0:00:06.183291
26,0.360,0.048096988312782175,87.87,84.88,0:01:20.150250,0:00:06.168445
27,0.360,0.04794386564209953,87.64,82.73,0:01:20.125542,0:00:06.182593
28,0.359,0.04778508191588613,87.74,80.78,0:01:20.155056,0:00:06.166482
