epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,2.396,0.05,11.52,14.57,0:00:56.207646,0:00:04.937061
2,1.931,0.04999691581204152,23.38,32.38,0:00:56.021752,0:00:05.119432
3,1.599,0.04998766400914329,37.57,44.36,0:00:55.646072,0:00:05.100625
4,1.312,0.049972246874049255,51.98,54.19,0:00:55.625630,0:00:05.112264
5,1.022,0.049950668210706796,64.11,52.73,0:00:55.627198,0:00:04.734441
6,0.876,0.04992293334332821,69.95,71.99,0:00:55.592101,0:00:05.147269
7,0.775,0.04988904911507701,73.94,74.59,0:00:55.838020,0:00:05.140588
8,0.707,0.049849023886379504,76.56,72.77,0:00:55.744327,0:00:04.775869
9,0.662,0.04980286753286196,78.21,73.65,0:00:55.757256,0:00:04.734964
10,0.634,0.049750591442913945,79.11,75.42,0:00:55.812661,0:00:05.174804
11,0.603,0.049692208514878454,80.07,76.16,0:00:55.828939,0:00:05.124375
12,0.585,0.049627733153869355,80.67,77.77,0:00:55.961857,0:00:05.154201
13,0.564,0.049557181268217225,81.28,74.18,0:00:55.895702,0:00:04.757109
14,0.545,0.04948057026554415,81.96,80.36,0:00:55.799444,0:00:05.117352
15,0.540,0.04939791904846869,82.30,81.45,0:00:55.823340,0:00:05.148427
16,0.523,0.04930924800994192,82.81,75.48,0:00:55.743152,0:00:04.764880
17,0.510,0.049214579028215785,83.19,82.70,0:00:55.708475,0:00:05.113442
18,0.499,0.04911393546144496,83.89,75.29,0:00:55.636992,0:00:04.731163
19,0.496,0.049007342141923586,83.71,81.54,0:00:55.689080,0:00:04.742144
20,0.482,0.04889482536995826,84.01,82.95,0:00:55.746679,0:00:05.166103
21,0.471,0.04877641290737885,84.64,81.47,0:00:55.789225,0:00:04.759864
22,0.469,0.04865213397068864,84.63,81.44,0:00:55.774202,0:00:04.735866
23,0.456,0.04852201922385564,85.05,78.07,0:00:55.669816,0:00:04.736800
24,0.460,0.04838610077074669,84.90,79.33,0:00:55.745077,0:00:04.760336
25,0.450,0.04824441214720629,85.18,82.20,0:00:55.826418,0:00:04.757756
26,0.453,0.048096988312782175,85.14,76.68,0:00:55.824409,0:00:04.758986
27,0.450,0.04794386564209953,85.15,84.94,0:00:55.819359,0:00:05.114280
28,0.440,0.04778508191588613,85.69,80.32,0:00:55.833848,0:00:04.887521
29,0.435,0.04762067631165049,85.71,81.28,0:00:56.052082,0:00:04.743179
30,0.434,0.047450689394015394,85.84,82.63,0:00:55.679218,0:00:04.738965
31,0.426,0.0472751631047092,85.95,82.29,0:00:55.667736,0:00:04.745742
32,0.422,0.04709414075221735,86.28,84.62,0:00:55.697820,0:00:04.767606
33,0.427,0.046907667001096595,85.89,82.19,0:00:55.828416,0:00:04.736793
34,0.415,0.04671578786095479,86.28,83.38,0:00:55.751740,0:00:04.754220
35,0.407,0.0465185506750986,86.63,85.14,0:00:55.825249,0:00:05.100332
36,0.411,0.04631600410885232,86.43,80.15,0:00:55.684646,0:00:04.798830
37,0.417,0.04610819813755039,86.34,84.68,0:00:55.777717,0:00:04.754992
38,0.406,0.045895184034206775,86.73,82.05,0:00:55.831972,0:00:04.760015
39,0.398,0.04567701435686406,86.80,81.27,0:00:55.902726,0:00:04.768937
40,0.403,0.0454537429356256,86.74,82.50,0:00:55.780215,0:00:04.743527
41,0.392,0.045225424859373704,87.09,84.94,0:00:55.902777,0:00:04.752854
42,0.387,0.04499211646217729,87.14,82.60,0:00:55.920973,0:00:04.759905
43,0.390,0.044753875309392274,86.97,81.51,0:00:55.818548,0:00:04.748494
44,0.381,0.044510760183458266,87.38,81.99,0:00:55.841809,0:00:04.761876
45,0.382,0.044262831069394756,87.34,81.66,0:00:55.861692,0:00:04.738260
46,0.385,0.0440101491400008,87.29,85.26,0:00:55.664673,0:00:05.113415
47,0.381,0.043752776740761515,87.46,84.55,0:00:55.703357,0:00:04.795921
48,0.378,0.04349077737446526,87.52,83.22,0:00:55.912666,0:00:04.763056
49,0.369,0.043224215685535305,87.80,75.75,0:00:55.875154,0:00:04.759889
50,0.368,0.04295315744407974,87.83,84.14,0:00:55.839594,0:00:04.760070
51,0.367,0.0426776695296637,87.87,81.16,0:00:55.807716,0:00:04.760975
52,0.370,0.04239781991480787,87.84,81.37,0:00:55.842519,0:00:04.748960
53,0.364,0.04211367764821723,87.93,84.48,0:00:56.384832,0:00:04.815079
54,0.363,0.04182531283774434,87.92,85.78,0:00:56.100390,0:00:05.182383
55,0.358,0.041532796633091305,88.12,83.48,0:00:56.197651,0:00:04.807842
56,0.357,0.0412362012082546,88.09,84.02,0:00:56.108183,0:00:04.809833
57,0.352,0.04093559974371725,88.09,83.78,0:00:55.791050,0:00:04.739096
58,0.353,0.04063106640839264,88.20,81.84,0:00:56.061949,0:00:04.888559
59,0.344,0.04032267634132442,88.64,84.79,0:00:55.710721,0:00:04.741740
60,0.345,0.040010505633147106,88.44,86.32,0:00:55.702767,0:00:05.149972
61,0.340,0.03969463130731184,88.62,84.02,0:00:55.730547,0:00:04.754756
62,0.343,0.03937513130108197,88.53,81.31,0:00:55.809428,0:00:04.759530
63,0.345,0.03905208444630328,88.54,84.07,0:00:55.691322,0:00:04.740723
64,0.338,0.038725570449953305,88.74,84.65,0:00:55.658599,0:00:04.744928
65,0.334,0.03839566987447492,88.99,85.29,0:00:55.784125,0:00:04.739666
66,0.333,0.03806246411789873,88.97,80.22,0:00:55.763201,0:00:04.752613
67,0.329,0.037726035393759294,89.15,84.68,0:00:55.909815,0:00:04.764053
68,0.331,0.0373864667108102,89.19,86.41,0:00:55.916333,0:00:05.132557
69,0.328,0.03704384185254289,89.11,85.22,0:00:55.915624,0:00:04.769869
70,0.326,0.03669824535651435,89.21,84.89,0:00:55.830207,0:00:04.739622
71,0.322,0.03634976249348868,89.35,82.03,0:00:55.835602,0:00:04.771831
72,0.327,0.03599847924639789,89.14,82.40,0:00:55.779329,0:00:04.786683
73,0.315,0.03564448228912683,89.54,83.33,0:00:55.791347,0:00:04.762526
74,0.312,0.03528785896512774,89.62,85.52,0:00:55.799161,0:00:04.744980
75,0.316,0.03492869726586953,89.48,84.60,0:00:55.750394,0:00:04.740290
76,0.305,0.03456708580912726,89.80,83.02,0:00:55.704853,0:00:04.753063
77,0.304,0.03420311381711697,89.91,86.27,0:00:55.737373,0:00:04.740719
78,0.302,0.03383687109448145,89.89,86.47,0:00:55.667517,0:00:05.113770
79,0.302,0.03346844800613231,89.85,83.96,0:00:55.829433,0:00:04.765407
80,0.296,0.03309793545495376,90.28,81.48,0:00:55.865042,0:00:04.758432
81,0.299,0.03272542485937371,90.14,87.49,0:00:55.861827,0:00:05.127943
82,0.300,0.03235100813080762,90.09,86.16,0:00:55.800619,0:00:04.734058
83,0.291,0.03197477765098076,90.28,84.99,0:00:55.717581,0:00:04.768852
84,0.292,0.03159682624913434,90.23,85.79,0:00:55.823241,0:00:04.768988
85,0.287,0.031217247179121384,90.61,85.97,0:00:55.858974,0:00:04.770806
86,0.283,0.03083613409639766,90.64,85.00,0:00:55.861162,0:00:04.764129
87,0.283,0.03045358103491359,90.47,84.87,0:00:55.857638,0:00:04.760382
88,0.273,0.03006968238391284,90.84,86.85,0:00:56.236929,0:00:04.761523
89,0.276,0.029684532864643145,90.87,87.42,0:00:55.862196,0:00:04.769200
90,0.273,0.02929822750698526,90.91,85.46,0:00:55.845246,0:00:04.760553
91,0.269,0.028910861626005795,91.09,88.44,0:00:55.844674,0:00:05.142167
92,0.264,0.028522530798439593,91.19,85.07,0:00:55.849175,0:00:04.763715
93,0.260,0.028133330839107632,91.33,85.36,0:00:55.852825,0:00:04.749501
94,0.264,0.027743357777276153,91.23,87.20,0:00:55.771321,0:00:04.736664
95,0.260,0.027352707832962876,91.31,86.71,0:00:55.651260,0:00:04.737248
96,0.251,0.026961477393196143,91.72,86.66,0:00:55.772935,0:00:04.744452
97,0.252,0.026569762988232853,91.62,87.31,0:00:55.770350,0:00:04.750753
98,0.252,0.02617766126774108,91.54,85.14,0:00:55.826156,0:00:04.789647
99,0.249,0.025785268976953223,91.73,88.55,0:00:55.809448,0:00:05.156611
100,0.242,0.02539268293279553,91.91,87.58,0:00:55.869018,0:00:04.738078
101,0.241,0.025000000000000012,91.97,88.59,0:00:55.846094,0:00:05.116510
102,0.235,0.0246073170672045,92.09,86.07,0:00:55.909808,0:00:04.763959
103,0.235,0.024214731023046804,92.06,86.19,0:00:55.863705,0:00:04.732547
104,0.232,0.023822338732258946,92.22,88.16,0:00:55.812025,0:00:04.788339
105,0.228,0.023430237011767177,92.44,87.22,0:00:55.808647,0:00:04.751723
106,0.220,0.02303852260680389,92.64,88.86,0:00:55.873441,0:00:05.134383
107,0.221,0.022647292167037154,92.70,88.48,0:00:55.837396,0:00:04.750335
108,0.216,0.02225664222272388,92.72,87.99,0:00:55.731584,0:00:04.734852
109,0.221,0.02186666916089241,92.64,88.97,0:00:55.860825,0:00:05.123593
110,0.213,0.02147746920156045,92.85,87.70,0:00:55.800016,0:00:04.757448
111,0.208,0.021089138373994242,93.09,87.31,0:00:55.754113,0:00:04.734441
112,0.207,0.02070177249301477,92.98,88.65,0:00:55.807173,0:00:04.762947
113,0.201,0.0203154671353569,93.21,87.41,0:00:55.859042,0:00:04.763639
114,0.199,0.019930317616087205,93.21,89.21,0:00:55.860792,0:00:05.111040
115,0.201,0.019546418965086458,93.39,89.07,0:00:55.722180,0:00:04.746933
116,0.197,0.019163865903602376,93.42,87.33,0:00:55.699117,0:00:04.740600
117,0.191,0.018782752820878643,93.65,88.33,0:00:55.712191,0:00:04.791621
118,0.183,0.01840317375086569,93.87,89.53,0:00:56.201573,0:00:05.143655
119,0.183,0.018025222349019283,93.94,88.09,0:00:55.844325,0:00:04.761630
120,0.177,0.017648991869192415,94.14,88.07,0:00:55.840167,0:00:04.767619
121,0.174,0.017274575140626334,94.17,89.23,0:00:55.861942,0:00:04.741943
122,0.173,0.016902064545046273,94.06,88.37,0:00:55.709185,0:00:04.742952
123,0.165,0.016531551993867726,94.40,88.80,0:00:55.694580,0:00:04.742657
124,0.167,0.016163128905518586,94.33,89.68,0:00:55.785506,0:00:05.118977
125,0.162,0.015796886182883066,94.61,89.99,0:00:55.776597,0:00:05.178702
