epoch,train_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.626,0.05,40.60,51.41,0:03:39.262076,0:00:14.060291
2,1.077,0.04999691581204152,61.61,65.01,0:03:39.150887,0:00:14.053247
3,0.827,0.04998766400914329,70.70,71.06,0:03:39.177982,0:00:14.066819
4,0.664,0.049972246874049255,76.81,71.77,0:03:39.350280,0:00:14.070672
5,0.571,0.049950668210706796,80.11,77.75,0:03:39.461165,0:00:14.046317
6,0.518,0.04992293334332821,82.09,76.69,0:03:39.169294,0:00:13.816235
7,0.476,0.04988904911507701,83.63,81.42,0:03:39.169650,0:00:14.071340
8,0.457,0.049849023886379504,84.42,82.17,0:03:39.362082,0:00:14.059653
9,0.433,0.04980286753286196,85.03,79.93,0:03:39.342191,0:00:13.827396
10,0.420,0.049750591442913945,85.40,84.54,0:03:39.182502,0:00:14.070874
11,0.404,0.049692208514878454,86.11,83.25,0:03:39.229353,0:00:13.809702
12,0.397,0.049627733153869355,86.44,84.68,0:03:39.285949,0:00:14.071539
13,0.392,0.049557181268217225,86.48,83.10,0:03:39.347986,0:00:13.829628
14,0.387,0.04948057026554415,86.63,84.68,0:03:39.310467,0:00:13.837194
15,0.383,0.04939791904846869,86.93,83.64,0:03:39.394496,0:00:13.816899
16,0.375,0.04930924800994192,87.17,80.00,0:03:39.490985,0:00:13.819281
17,0.375,0.049214579028215785,87.01,82.71,0:03:39.346378,0:00:13.841614
18,0.365,0.04911393546144496,87.43,81.57,0:03:39.311865,0:00:13.839291
19,0.360,0.049007342141923586,87.72,83.28,0:03:39.366228,0:00:13.832970
20,0.355,0.04889482536995826,87.84,84.08,0:03:39.277403,0:00:13.831043
21,0.353,0.04877641290737885,87.79,85.30,0:03:39.386582,0:00:14.080848
22,0.348,0.04865213397068864,88.22,84.49,0:03:39.230390,0:00:13.828708
23,0.343,0.04852201922385564,88.23,86.46,0:03:39.256529,0:00:14.052407
24,0.340,0.04838610077074669,88.31,82.29,0:03:39.422231,0:00:13.831981
25,0.333,0.04824441214720629,88.59,84.72,0:03:39.301389,0:00:13.812692
26,0.332,0.048096988312782175,88.63,84.79,0:03:39.262584,0:00:13.828963
27,0.331,0.04794386564209953,88.55,87.04,0:03:39.203083,0:00:14.069944
28,0.322,0.04778508191588613,88.98,85.16,0:03:39.228942,0:00:13.854480
29,0.321,0.04762067631165049,88.95,85.23,0:03:39.324420,0:00:13.811345
30,0.324,0.047450689394015394,89.02,86.10,0:03:39.195023,0:00:13.814463
31,0.312,0.0472751631047092,89.30,87.30,0:03:39.335689,0:00:14.040600
32,0.309,0.04709414075221735,89.42,87.61,0:03:39.334300,0:00:14.072626
33,0.309,0.046907667001096595,89.38,86.34,0:03:39.265613,0:00:13.814770
34,0.309,0.04671578786095479,89.28,85.97,0:03:39.242728,0:00:13.819327
35,0.309,0.0465185506750986,89.40,86.60,0:03:39.212987,0:00:13.814293
36,0.303,0.04631600410885232,89.71,83.87,0:03:39.365989,0:00:13.837354
37,0.303,0.04610819813755039,89.59,83.79,0:03:39.256690,0:00:13.832509
38,0.298,0.045895184034206775,89.76,85.73,0:03:39.342017,0:00:13.838327
39,0.300,0.04567701435686406,89.73,86.41,0:03:39.255233,0:00:13.831983
40,0.296,0.0454537429356256,89.76,87.03,0:03:39.285982,0:00:13.815933
41,0.294,0.045225424859373704,90.11,88.01,0:03:39.123498,0:00:14.055200
42,0.293,0.04499211646217729,89.94,86.94,0:03:39.230367,0:00:13.817453
