epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used
1,2.092,1.584,0.05,24.78,40.91,0:02:09.482767,0:00:10.586297,yes
2,1.856,1.492,0.04999691581204152,35.24,47.22,0:02:14.074608,0:00:06.572851,yes
3,1.717,1.197,0.04998766400914329,42.24,58.51,0:01:38.562824,0:00:06.609880,yes
4,1.634,1.108,0.049972246874049255,46.10,62.68,0:01:40.073670,0:00:06.643018,yes
5,1.571,0.978,0.049950668210706796,48.79,67.77,0:01:38.169404,0:00:06.728623,yes
6,1.495,0.836,0.04992293334332821,52.27,74.90,0:01:51.204025,0:00:06.575543,yes
7,1.472,0.834,0.04988904911507701,53.08,75.07,0:02:16.632908,0:00:10.196930,yes
8,1.436,0.791,0.049849023886379504,54.61,76.43,0:01:42.951869,0:00:10.634323,yes
9,1.420,0.923,0.04980286753286196,55.31,69.77,0:02:17.154779,0:00:10.070744,yes
10,1.385,0.773,0.049750591442913945,56.65,77.96,0:02:18.922054,0:00:07.498037,yes
11,1.412,0.764,0.049692208514878454,55.53,79.68,0:01:46.555437,0:00:10.574691,yes
12,1.386,0.864,0.049627733153869355,56.46,76.01,0:02:01.491465,0:00:06.285208,yes
13,1.385,0.849,0.049557181268217225,56.45,74.42,0:01:38.536674,0:00:06.391912,yes
14,1.373,0.722,0.04948057026554415,57.21,79.30,0:01:38.077762,0:00:06.269509,yes
15,1.354,0.690,0.04939791904846869,58.14,79.32,0:02:09.841764,0:00:10.300266,yes
16,1.343,0.710,0.04930924800994192,58.26,79.95,0:02:33.673154,0:00:10.562399,yes
17,1.357,0.750,0.049214579028215785,57.88,79.41,0:02:33.590188,0:00:10.299800,yes
18,1.344,0.684,0.04911393546144496,58.27,81.40,0:02:33.879521,0:00:10.596902,yes
19,1.320,0.742,0.049007342141923586,59.49,76.80,0:02:35.811877,0:00:10.301212,yes
20,1.323,0.689,0.04889482536995826,59.29,78.29,0:02:36.715563,0:00:10.278479,yes
21,1.327,0.707,0.04877641290737885,58.97,79.67,0:02:31.218910,0:00:10.107883,yes
22,1.310,0.733,0.04865213397068864,59.86,80.36,0:02:32.079124,0:00:10.161616,yes
23,1.308,0.751,0.04852201922385564,59.55,79.41,0:02:32.299051,0:00:10.253837,yes
24,1.321,0.666,0.04838610077074669,59.52,83.02,0:02:32.709437,0:00:10.502306,yes
25,1.329,0.589,0.04824441214720629,58.86,84.03,0:02:32.395471,0:00:10.312218,yes
26,1.304,0.728,0.048096988312782175,60.16,79.78,0:02:32.059147,0:00:10.222963,yes
27,1.302,0.725,0.04794386564209953,60.08,79.59,0:02:32.166112,0:00:10.001601,yes
28,1.300,0.613,0.04778508191588613,60.09,84.59,0:02:31.853350,0:00:10.298724,yes
29,1.283,0.599,0.04762067631165049,60.82,83.94,0:01:42.293227,0:00:06.251592,yes
30,1.292,0.631,0.047450689394015394,60.44,83.58,0:01:37.213884,0:00:06.245766,yes
