epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,4.730,1.859,0.01,22.88,33.39,0:01:39.539937,0:00:06.393031,no,yes
2,1.799,1.751,0.009999383162408303,33.06,37.68,0:01:39.627526,0:00:06.585129,no,yes
3,1.757,1.641,0.009997532801828657,34.20,38.95,0:01:39.545714,0:00:06.599093,no,yes
4,1.736,1.601,0.00999444937480985,35.44,40.19,0:01:39.716274,0:00:06.606539,no,yes
5,1.716,1.615,0.009990133642141357,36.18,40.17,0:01:39.548313,0:00:06.266846,no,yes
6,1.707,1.572,0.009984586668665639,36.72,41.75,0:01:39.405132,0:00:06.563131,no,yes
7,1.687,1.626,0.009977809823015398,37.37,39.87,0:01:39.176743,0:00:06.245135,no,yes
8,1.667,1.570,0.009969804777275897,37.93,41.52,0:01:39.375776,0:00:06.236792,no,yes
9,1.665,1.525,0.009960573506572387,38.17,43.34,0:01:39.329774,0:00:06.535715,no,yes
10,1.645,1.542,0.009950118288582784,39.24,43.06,0:01:39.441335,0:00:06.251520,no,yes
11,1.637,1.530,0.009938441702975684,39.54,43.49,0:01:39.353512,0:00:06.524806,no,yes
12,1.625,1.511,0.009925546630773864,39.92,44.29,0:01:39.474727,0:00:06.535079,no,yes
13,1.620,1.513,0.009911436253643439,40.10,44.02,0:01:39.281840,0:00:06.336606,no,yes
14,1.609,1.496,0.009896114053108824,40.54,44.75,0:01:39.583258,0:00:06.521010,no,yes
15,1.601,1.469,0.009879583809693733,41.05,45.82,0:01:39.160849,0:00:06.534426,no,yes
16,1.590,1.464,0.009861849601988378,41.35,46.00,0:01:39.371554,0:00:06.523904,no,yes
17,1.580,1.461,0.00984291580564315,41.98,45.93,0:01:39.388387,0:00:06.240545,no,yes
18,1.574,1.447,0.009822787092288985,42.04,46.91,0:01:39.389456,0:00:06.536814,no,yes
19,1.570,1.454,0.00980146842838471,42.50,45.86,0:01:39.384796,0:00:06.235851,no,yes
20,1.560,1.429,0.009778965073991645,42.81,46.62,0:01:39.345798,0:00:06.223879,no,yes
21,1.549,1.440,0.009755282581475762,43.24,46.32,0:01:39.342202,0:00:06.230846,no,yes
22,1.544,1.417,0.00973042679413772,43.22,47.76,0:01:39.261661,0:00:06.503710,no,yes
23,1.538,1.401,0.00970440384477112,43.33,48.25,0:01:39.126046,0:00:06.522620,no,yes
24,1.534,1.407,0.00967722015414933,43.86,48.37,0:01:39.057828,0:00:06.507553,no,yes
25,1.524,1.433,0.00964888242944125,44.29,48.08,0:01:39.041018,0:00:06.222477,no,yes
26,1.523,1.424,0.009619397662556426,44.35,47.52,0:01:39.000993,0:00:06.215049,no,yes
