epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,2.005,1.500,0.05,28.79,44.69,0:01:48.035122,0:00:05.656718,yes,no
2,1.752,1.408,0.04999691581204152,40.29,51.18,0:01:46.917185,0:00:05.577881,yes,no
3,1.654,1.047,0.04998766400914329,45.02,64.58,0:01:46.937916,0:00:05.558818,yes,no
4,1.587,1.023,0.049972246874049255,48.27,66.07,0:01:46.866162,0:00:05.554037,yes,no
5,1.547,0.991,0.049950668210706796,50.11,70.26,0:01:46.660901,0:00:05.556421,yes,no
6,1.530,0.875,0.04992293334332821,50.85,71.45,0:01:46.689047,0:00:05.550617,yes,no
7,1.527,0.971,0.04988904911507701,50.71,68.82,0:01:46.666080,0:00:05.501507,yes,no
8,1.478,0.883,0.049849023886379504,52.65,72.04,0:01:46.663897,0:00:05.726909,yes,no
9,1.478,0.913,0.04980286753286196,52.64,71.38,0:01:47.203229,0:00:05.535829,yes,no
10,1.460,0.977,0.049750591442913945,53.62,68.40,0:01:46.919053,0:00:05.526814,yes,no
11,1.477,0.859,0.049692208514878454,52.73,73.61,0:01:47.020024,0:00:05.564028,yes,no
12,1.472,0.809,0.049627733153869355,53.04,74.12,0:01:47.116061,0:00:05.546059,yes,no
13,1.458,0.821,0.049557181268217225,53.44,74.98,0:01:46.969450,0:00:05.621404,yes,no
14,1.469,0.932,0.04948057026554415,53.28,71.67,0:01:46.975561,0:00:05.523112,yes,no
15,1.447,0.790,0.04939791904846869,54.18,76.43,0:01:47.038643,0:00:05.574575,yes,no
16,1.460,0.911,0.04930924800994192,53.47,73.28,0:01:47.016985,0:00:05.521393,yes,no
17,1.474,0.857,0.049214579028215785,53.26,72.83,0:01:46.909941,0:00:05.502492,yes,no
18,1.463,0.877,0.04911393546144496,53.40,73.63,0:01:46.924243,0:00:05.528941,yes,no
19,1.456,0.890,0.049007342141923586,53.49,71.69,0:01:46.921020,0:00:05.529202,yes,no
20,1.470,0.793,0.04889482536995826,53.22,75.68,0:01:47.003196,0:00:05.522785,yes,no
21,1.478,0.913,0.04877641290737885,53.12,70.73,0:01:46.981153,0:00:05.525218,yes,no
22,1.467,0.835,0.04865213397068864,53.17,74.22,0:01:46.977475,0:00:05.524906,yes,no
23,1.452,0.856,0.04852201922385564,53.95,74.04,0:01:46.992740,0:00:05.525212,yes,no
24,1.438,0.890,0.04838610077074669,54.25,72.30,0:01:47.049037,0:00:05.674857,yes,no
25,1.456,0.904,0.04824441214720629,53.92,72.70,0:01:47.318113,0:00:05.533740,yes,no
26,1.460,0.870,0.048096988312782175,53.35,72.41,0:01:47.101424,0:00:05.523341,yes,no
27,1.444,0.847,0.04794386564209953,54.35,75.11,0:01:47.052105,0:00:05.534637,yes,no
28,1.441,0.770,0.04778508191588613,54.50,76.62,0:01:47.135961,0:00:05.575946,yes,no
29,1.458,0.845,0.04762067631165049,53.82,74.75,0:01:46.998515,0:00:05.557452,yes,no
30,1.441,0.858,0.047450689394015394,54.14,73.72,0:01:46.732066,0:00:05.504586,yes,no
31,1.461,0.810,0.0472751631047092,53.59,76.27,0:01:46.744482,0:00:05.526873,yes,no
32,1.452,0.804,0.04709414075221735,54.27,75.88,0:01:46.843162,0:00:05.500993,yes,no
33,1.458,0.865,0.046907667001096595,53.67,74.61,0:01:46.662277,0:00:05.505907,yes,no
34,1.442,0.852,0.04671578786095479,54.33,75.04,0:01:46.840418,0:00:05.519485,yes,no
35,1.431,0.814,0.0465185506750986,54.63,75.56,0:01:46.948446,0:00:05.504660,yes,no
36,1.457,0.846,0.04631600410885232,53.55,73.05,0:01:46.687482,0:00:05.504008,yes,no
37,1.431,0.924,0.04610819813755039,54.86,71.16,0:01:46.859493,0:00:05.525474,yes,no
38,1.445,0.884,0.045895184034206775,54.33,75.98,0:01:46.760673,0:00:05.500606,yes,no
39,1.433,0.867,0.04567701435686406,54.68,72.76,0:01:46.719885,0:00:05.521986,yes,no
