epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,2.022,1.489,0.05,27.46,44.89,0:04:32.403183,0:00:27.164775,yes,no
2,1.780,1.239,0.04999691581204152,38.89,56.36,0:05:23.106986,0:00:43.494013,yes,no
3,1.670,1.147,0.04998766400914329,44.23,61.25,0:06:56.301814,0:00:43.024016,yes,no
4,1.589,0.984,0.049972246874049255,47.90,67.88,0:05:56.710589,0:00:28.168882,yes,no
5,1.535,0.896,0.049950668210706796,50.21,70.91,0:04:42.802999,0:00:28.104466,yes,no
6,1.489,0.882,0.04992293334332821,52.27,73.06,0:04:36.775684,0:00:28.103446,yes,no
7,1.445,0.922,0.04988904911507701,54.02,70.79,0:04:36.209658,0:00:27.199099,yes,no
8,1.424,0.803,0.049849023886379504,54.95,75.59,0:06:26.458037,0:00:42.225264,yes,no
9,1.433,0.950,0.04980286753286196,54.58,68.58,0:06:58.669442,0:00:43.069762,yes,no
10,1.403,0.846,0.049750591442913945,55.46,73.38,0:05:01.025780,0:00:27.884689,yes,no
11,1.381,0.799,0.049692208514878454,56.81,75.99,0:04:37.005132,0:00:28.124577,yes,no
12,1.389,0.762,0.049627733153869355,56.49,77.80,0:04:39.948991,0:00:28.230359,yes,no
13,1.379,0.791,0.049557181268217225,56.60,76.07,0:04:36.835010,0:00:27.927249,yes,no
14,1.375,0.790,0.04948057026554415,57.08,75.51,0:04:36.316349,0:00:27.962227,yes,no
15,1.358,0.655,0.04939791904846869,57.37,81.21,0:04:36.839779,0:00:28.256403,yes,no
16,1.352,0.708,0.04930924800994192,57.94,78.23,0:04:36.762401,0:00:27.957174,yes,no
17,1.356,0.693,0.049214579028215785,57.61,78.99,0:04:36.921641,0:00:27.944249,yes,no
18,1.354,0.762,0.04911393546144496,57.87,77.24,0:04:36.781839,0:00:28.064836,yes,no
19,1.331,0.803,0.049007342141923586,58.93,76.04,0:04:36.645425,0:00:27.994297,yes,no
20,1.338,0.722,0.04889482536995826,58.61,81.05,0:04:36.745741,0:00:27.936745,yes,no
21,1.339,0.667,0.04877641290737885,58.46,80.40,0:04:36.636550,0:00:27.975560,yes,no
22,1.350,0.723,0.04865213397068864,57.97,79.48,0:04:36.759705,0:00:27.940352,yes,no
23,1.351,0.738,0.04852201922385564,57.86,77.75,0:04:36.834300,0:00:27.902635,yes,no
