epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.613,1.274,0.01,39.66,56.09,0:02:09.212516,0:00:05.584331
2,1.215,0.999,0.009999383162408303,57.23,66.36,0:02:08.902028,0:00:05.587033
3,1.046,0.964,0.009997532801828657,64.12,67.60,0:02:08.945503,0:00:05.562830
4,0.928,0.787,0.00999444937480985,68.63,75.82,0:02:08.804984,0:00:05.531776
5,0.845,0.704,0.009990133642141357,71.81,77.71,0:02:08.761595,0:00:05.552949
6,0.781,0.726,0.009984586668665639,74.40,77.26,0:02:08.893218,0:00:05.507126
7,0.735,0.674,0.009977809823015398,76.16,79.20,0:02:09.110889,0:00:05.692920
8,0.695,0.621,0.009969804777275897,77.68,81.53,0:02:08.905427,0:00:05.554957
9,0.668,0.563,0.009960573506572387,78.42,83.29,0:02:08.956717,0:00:05.550162
10,0.636,0.562,0.009950118288582784,79.67,83.36,0:02:08.946431,0:00:05.549896
11,0.619,0.538,0.009938441702975684,80.00,83.86,0:02:08.837320,0:00:05.535574
12,0.596,0.545,0.009925546630773864,81.10,83.62,0:02:08.696845,0:00:05.484237
13,0.583,0.530,0.009911436253643439,81.52,83.92,0:02:08.911349,0:00:05.557880
14,0.568,0.532,0.009896114053108824,82.12,85.47,0:02:09.025722,0:00:05.550595
15,0.551,0.510,0.009879583809693733,82.52,85.08,0:02:09.019332,0:00:05.503024
16,0.542,0.488,0.009861849601988378,83.06,85.56,0:02:08.930829,0:00:05.534759
17,0.531,0.485,0.00984291580564315,83.42,85.87,0:02:08.864653,0:00:05.526172
18,0.518,0.489,0.009822787092288985,84.04,85.93,0:02:08.835508,0:00:05.554198
19,0.506,0.447,0.00980146842838471,84.36,87.43,0:02:08.957342,0:00:05.544292
20,0.497,0.462,0.009778965073991645,84.81,86.69,0:02:08.966268,0:00:05.507595
21,0.495,0.447,0.009755282581475762,84.70,87.33,0:02:09.332132,0:00:05.475577
22,0.484,0.464,0.00973042679413772,85.33,86.99,0:02:08.675215,0:00:05.486613
23,0.481,0.456,0.00970440384477112,85.38,87.19,0:02:08.669079,0:00:05.490550
24,0.469,0.427,0.00967722015414933,85.69,87.82,0:02:08.716014,0:00:05.553776
25,0.462,0.444,0.00964888242944125,85.98,87.45,0:02:08.890847,0:00:05.482222
26,0.455,0.464,0.009619397662556426,86.13,87.09,0:02:08.649170,0:00:05.481950
27,0.458,0.451,0.009588773128419898,86.19,87.55,0:02:08.891043,0:00:05.501346
28,0.444,0.423,0.009557016383177219,86.77,88.27,0:02:08.877516,0:00:05.537419
29,0.444,0.426,0.009524135262330091,86.77,88.25,0:02:08.979969,0:00:05.482118
30,0.440,0.417,0.009490137878803071,86.81,88.71,0:02:08.959881,0:00:05.540554
31,0.437,0.455,0.009455032620941833,86.99,86.93,0:02:08.942693,0:00:05.507004
32,0.426,0.415,0.009418828150443462,87.31,88.76,0:02:08.887471,0:00:05.545899
33,0.427,0.414,0.009381533400219312,87.19,88.38,0:02:08.933932,0:00:05.502885
34,0.424,0.452,0.00934315757219095,87.39,87.44,0:02:09.176945,0:00:05.487833
35,0.413,0.405,0.009303710135019712,87.76,89.00,0:02:08.815972,0:00:05.552921
36,0.419,0.421,0.009263200821770455,87.65,88.11,0:02:08.914711,0:00:05.493440
37,0.413,0.405,0.009221639627510068,87.82,89.27,0:02:08.651643,0:00:05.528163
38,0.407,0.379,0.009179036806841345,88.18,89.61,0:02:08.660632,0:00:05.530355
39,0.402,0.394,0.009135402871372801,88.20,89.48,0:02:08.706579,0:00:05.485412
40,0.399,0.391,0.00909074858712511,88.45,89.61,0:02:08.986727,0:00:05.509692
41,0.402,0.384,0.00904508497187473,88.29,89.59,0:02:09.098310,0:00:05.508763
42,0.400,0.380,0.008998423292435446,88.25,89.39,0:02:09.091454,0:00:05.490955
43,0.387,0.399,0.008950775061878443,88.66,89.27,0:02:08.953547,0:00:05.488063
44,0.391,0.385,0.008902152036691641,88.64,89.91,0:02:08.789960,0:00:05.525115
45,0.386,0.370,0.008852566213878938,88.70,89.74,0:02:08.670651,0:00:05.478572
46,0.383,0.385,0.008802029828000147,88.91,89.35,0:02:08.691394,0:00:05.487479
47,0.381,0.408,0.00875055534815229,89.06,88.46,0:02:08.689731,0:00:05.476146
48,0.383,0.362,0.008698155474893039,88.86,90.20,0:02:09.196722,0:00:05.546793
49,0.379,0.376,0.008644843137107049,88.97,89.53,0:02:08.946872,0:00:05.496484
50,0.376,0.393,0.008590631488815935,89.18,89.68,0:02:08.972113,0:00:05.495961
51,0.375,0.370,0.008535533905932728,89.32,90.31,0:02:08.974337,0:00:05.553205
52,0.367,0.378,0.008479563982961562,89.48,90.11,0:02:08.962210,0:00:05.492951
53,0.375,0.357,0.008422735529643434,89.26,90.40,0:02:08.966857,0:00:05.549392
54,0.371,0.375,0.008365062567548856,89.50,89.98,0:02:09.112424,0:00:05.495300
55,0.361,0.398,0.00830655932661825,89.78,88.96,0:02:09.056522,0:00:05.483542
56,0.362,0.368,0.008247240241650909,89.91,89.98,0:02:09.004183,0:00:05.479606
57,0.362,0.362,0.00818711994874344,89.82,90.39,0:02:08.946123,0:00:05.491159
58,0.354,0.357,0.008126213281678518,90.12,90.61,0:02:08.652177,0:00:05.529979
59,0.357,0.377,0.008064535268264873,89.94,90.38,0:02:08.664024,0:00:05.477698
60,0.354,0.396,0.008002101126629411,90.04,89.06,0:02:08.663872,0:00:05.477720
61,0.353,0.360,0.007938926261462358,90.03,90.08,0:02:09.202876,0:00:05.504721
62,0.353,0.367,0.007875026260216385,90.03,90.33,0:02:08.737786,0:00:05.476856
63,0.349,0.340,0.007810416889260647,90.10,91.07,0:02:08.702087,0:00:05.540806
64,0.345,0.354,0.007745114089990651,90.33,90.66,0:02:08.712263,0:00:05.485000
65,0.343,0.361,0.007679133974894975,90.30,90.53,0:02:08.860656,0:00:05.478586
66,0.341,0.361,0.007612492823579737,90.57,90.50,0:02:08.733261,0:00:05.496171
67,0.341,0.341,0.00754520707875185,90.60,91.25,0:02:09.627456,0:00:05.632867
68,0.337,0.357,0.007477293342162032,90.83,90.68,0:02:09.181254,0:00:05.491021
69,0.333,0.343,0.00740876837050857,90.88,91.08,0:02:09.249435,0:00:05.508435
70,0.336,0.338,0.007339649071302861,90.76,91.09,0:02:09.125174,0:00:05.519085
71,0.332,0.365,0.007269952498697728,90.94,90.03,0:02:08.972426,0:00:05.508080
72,0.329,0.360,0.007199695849279568,91.06,90.92,0:02:08.906709,0:00:05.495651
73,0.327,0.359,0.0071288964578253575,91.07,90.90,0:02:08.886776,0:00:05.508761
74,0.327,0.341,0.007057571793025539,91.07,90.79,0:02:09.117891,0:00:05.496434
75,0.323,0.316,0.006985739453173897,91.34,91.99,0:02:08.906746,0:00:05.544993
76,0.317,0.328,0.006913417161825444,91.61,91.81,0:02:08.753744,0:00:05.485603
77,0.313,0.347,0.0068406227634233855,91.59,91.43,0:02:08.701755,0:00:05.490995
78,0.316,0.331,0.006767374218896281,91.49,91.92,0:02:08.735764,0:00:05.493669
79,0.310,0.344,0.006693689601226453,91.72,91.16,0:02:08.723330,0:00:05.493257
80,0.308,0.328,0.006619587090990743,91.79,91.88,0:02:09.012373,0:00:05.518593
81,0.306,0.326,0.006545084971874733,91.81,91.71,0:02:09.240616,0:00:05.491996
82,0.308,0.335,0.006470201626161516,91.85,91.42,0:02:09.201917,0:00:05.517332
83,0.305,0.341,0.006394955530196143,91.90,91.07,0:02:09.089673,0:00:05.490653
84,0.306,0.318,0.00631936524982686,91.89,92.00,0:02:08.995982,0:00:05.549945
85,0.302,0.333,0.00624344943582427,92.06,91.40,0:02:08.842493,0:00:05.516494
86,0.300,0.337,0.006167226819279525,92.13,91.73,0:02:08.887068,0:00:05.513731
87,0.293,0.331,0.006090716206982711,92.40,91.70,0:02:09.136185,0:00:05.513472
88,0.299,0.328,0.006013936476782561,92.10,91.33,0:02:09.388018,0:00:05.509933
89,0.292,0.330,0.005936906572928622,92.42,92.05,0:02:08.945177,0:00:05.561323
90,0.283,0.308,0.005859645501397045,92.78,92.47,0:02:09.066997,0:00:05.571952
91,0.290,0.336,0.005782172325201152,92.44,91.66,0:02:08.978153,0:00:05.498364
92,0.284,0.315,0.005704506159687911,92.62,92.07,0:02:08.794852,0:00:05.489989
93,0.278,0.301,0.0056266661678215195,92.95,92.42,0:02:08.985738,0:00:05.511750
94,0.281,0.325,0.005548671555455224,92.78,91.96,0:02:09.133991,0:00:05.538082
95,0.278,0.303,0.0054705415665925695,92.84,92.34,0:02:09.041981,0:00:05.549850
96,0.276,0.300,0.005392295478639223,92.98,92.69,0:02:09.235729,0:00:05.560822
97,0.277,0.324,0.005313952597646565,93.01,92.20,0:02:09.131318,0:00:05.516797
98,0.271,0.298,0.00523553225354821,93.20,92.80,0:02:09.124359,0:00:05.563489
99,0.270,0.327,0.005157053795390639,93.24,91.58,0:02:09.044400,0:00:05.509712
100,0.266,0.290,0.005078536586559101,93.57,93.02,0:02:09.127937,0:00:05.563382
101,0.265,0.295,0.004999999999999997,93.53,93.32,0:02:09.449942,0:00:05.563765
102,0.261,0.312,0.004921463413440894,93.64,92.40,0:02:09.137243,0:00:05.512428
103,0.262,0.302,0.004842946204609355,93.58,92.80,0:02:09.090955,0:00:05.509202
104,0.257,0.312,0.004764467746451784,93.78,92.56,0:02:09.100252,0:00:05.484747
105,0.254,0.312,0.00468604740235343,93.85,92.69,0:02:09.010560,0:00:05.509741
106,0.250,0.307,0.004607704521360773,94.13,92.58,0:02:08.894489,0:00:05.510296
107,0.249,0.294,0.0045294584334074255,94.07,93.18,0:02:09.142883,0:00:05.497834
108,0.245,0.299,0.004451328444544771,94.15,92.79,0:02:09.147564,0:00:05.486846
109,0.243,0.303,0.004373333832178476,94.31,92.87,0:02:09.102817,0:00:05.490864
110,0.241,0.306,0.004295493840312086,94.30,92.53,0:02:09.103400,0:00:05.509377
111,0.239,0.297,0.004217827674798844,94.55,93.12,0:02:09.079409,0:00:05.513316
112,0.239,0.301,0.00414035449860295,94.47,92.78,0:02:08.997286,0:00:05.501487
113,0.236,0.300,0.004063093427071376,94.56,92.97,0:02:08.955539,0:00:05.492423
114,0.232,0.286,0.003986063523217437,94.78,93.32,0:02:08.914186,0:00:05.583370
115,0.226,0.293,0.003909283793017288,95.00,93.26,0:02:08.967786,0:00:05.490333
116,0.228,0.290,0.0038327731807204714,94.85,93.40,0:02:08.821828,0:00:05.544315
117,0.225,0.290,0.003756550564175725,94.99,93.28,0:02:08.774346,0:00:05.490717
118,0.223,0.300,0.0036806347501731345,95.11,93.01,0:02:08.856476,0:00:05.504022
119,0.219,0.304,0.003605044469803853,95.30,92.98,0:02:08.831853,0:00:05.485746
120,0.216,0.297,0.00352979837383848,95.43,93.08,0:02:09.059417,0:00:05.527900
121,0.214,0.285,0.0034549150281252636,95.46,93.52,0:02:09.051185,0:00:05.583251
122,0.213,0.286,0.0033804129090092517,95.44,93.63,0:02:09.084798,0:00:05.559878
123,0.210,0.295,0.003306310398773542,95.67,93.54,0:02:09.066557,0:00:05.519229
124,0.205,0.290,0.003232625781103714,95.83,93.56,0:02:09.206303,0:00:05.498375
125,0.206,0.281,0.0031593772365766104,95.80,94.04,0:02:08.991275,0:00:05.564221
126,0.202,0.279,0.0030865828381745515,95.94,94.00,0:02:09.008512,0:00:05.488435
127,0.201,0.292,0.0030142605468260956,95.91,93.52,0:02:09.043902,0:00:05.512658
128,0.200,0.294,0.0029424282069744553,96.05,93.60,0:02:09.483939,0:00:05.507289
129,0.194,0.270,0.002871103542174636,96.24,94.05,0:02:08.972934,0:00:05.547659
130,0.193,0.271,0.0028003041507204235,96.39,94.09,0:02:09.001836,0:00:05.561188
131,0.190,0.272,0.002730047501302266,96.40,94.16,0:02:08.894246,0:00:05.543236
132,0.188,0.272,0.0026603509286971336,96.49,94.18,0:02:08.795150,0:00:05.544148
133,0.190,0.272,0.0025912316294914224,96.40,94.02,0:02:08.902561,0:00:05.483906
134,0.182,0.275,0.0025227066578379616,96.69,94.22,0:02:09.154994,0:00:05.569547
135,0.181,0.271,0.0024547929212481432,96.78,94.33,0:02:09.160300,0:00:05.538539
136,0.180,0.275,0.0023875071764202557,96.82,94.00,0:02:09.090761,0:00:05.496985
137,0.179,0.274,0.0023208660251050153,96.84,94.13,0:02:09.242394,0:00:05.506421
138,0.175,0.277,0.0022548859100093403,97.09,94.01,0:02:09.162480,0:00:05.507482
139,0.175,0.278,0.0021895831107393462,97.04,93.94,0:02:08.875455,0:00:05.485342
140,0.170,0.279,0.002124973739783607,97.19,93.99,0:02:08.807649,0:00:05.491385
141,0.169,0.271,0.0020610737385376348,97.25,94.39,0:02:09.191894,0:00:05.556684
142,0.165,0.265,0.0019978988733705804,97.37,94.38,0:02:08.846095,0:00:05.484215
143,0.165,0.269,0.001935464731735117,97.43,94.19,0:02:08.802806,0:00:05.524172
144,0.162,0.269,0.0018737867183214738,97.45,94.62,0:02:09.126922,0:00:05.564112
145,0.159,0.265,0.001812880051256551,97.67,94.74,0:02:08.850465,0:00:05.541671
146,0.157,0.270,0.001752759758349082,97.70,94.31,0:02:08.796770,0:00:05.482230
147,0.155,0.262,0.0016934406733817413,97.73,94.78,0:02:09.007748,0:00:05.557610
148,0.155,0.262,0.0016349374324511328,97.75,94.50,0:02:09.170867,0:00:05.555391
149,0.152,0.267,0.0015772644703565563,97.96,94.42,0:02:09.166295,0:00:05.559497
150,0.151,0.259,0.0015204360170384284,97.98,94.46,0:02:09.063104,0:00:05.508379
151,0.150,0.266,0.0014644660940672626,97.99,94.90,0:02:09.179358,0:00:05.557484
152,0.148,0.260,0.0014093685111840565,98.05,94.64,0:02:09.003780,0:00:05.503985
153,0.146,0.257,0.0013551568628929432,98.15,94.56,0:02:09.049077,0:00:05.506842
154,0.143,0.258,0.001301844525106951,98.19,94.82,0:02:09.075569,0:00:05.504624
155,0.143,0.252,0.0012494446518477018,98.26,94.98,0:02:09.458634,0:00:05.561490
156,0.141,0.261,0.0011979701719998452,98.30,94.98,0:02:08.840860,0:00:05.489869
157,0.140,0.261,0.001147433786121054,98.47,94.81,0:02:08.847363,0:00:05.493273
158,0.139,0.257,0.001097847963308352,98.39,94.90,0:02:08.809113,0:00:05.491958
159,0.136,0.258,0.0010492249381215478,98.52,94.73,0:02:08.894967,0:00:05.510115
