epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time
1,1.784,1.541,0.01,30.80,43.76,0:01:00.675172,0:00:02.212853
2,1.491,1.397,0.009999383162408303,44.49,50.27,0:01:00.155951,0:00:02.220617
3,1.373,1.417,0.009997532801828657,49.64,49.76,0:00:59.595965,0:00:02.205377
4,1.273,1.241,0.00999444937480985,53.96,56.44,0:00:59.669184,0:00:02.216581
5,1.217,1.249,0.009990133642141357,56.68,57.50,0:00:59.736671,0:00:02.236177
6,1.160,1.075,0.009984586668665639,58.64,62.84,0:00:59.940377,0:00:02.237765
7,1.122,1.022,0.009977809823015398,60.31,64.85,0:00:59.745026,0:00:02.212036
8,1.094,0.992,0.009969804777275897,61.36,66.43,0:00:59.622641,0:00:02.213528
9,1.073,0.991,0.009960573506572387,62.04,66.62,0:00:59.566225,0:00:02.214308
10,1.048,0.991,0.009950118288582784,63.14,66.93,0:00:59.695564,0:00:02.214012
11,1.029,1.076,0.009938441702975684,64.22,64.23,0:00:59.629702,0:00:02.198408
12,0.999,1.003,0.009925546630773864,65.09,66.64,0:00:59.829234,0:00:02.230423
13,0.978,1.010,0.009911436253643439,66.45,65.77,0:00:59.871958,0:00:02.226112
14,0.965,0.993,0.009896114053108824,66.64,67.35,0:01:00.497098,0:00:02.210630
15,0.953,1.161,0.009879583809693733,67.51,61.97,0:00:59.633374,0:00:02.202988
16,0.937,0.873,0.009861849601988378,67.79,71.28,0:00:59.654202,0:00:02.212219
17,0.919,0.883,0.00984291580564315,68.39,70.75,0:00:59.588238,0:00:02.189583
18,0.911,0.963,0.009822787092288985,68.93,68.39,0:00:59.599469,0:00:02.201061
19,0.901,0.886,0.00980146842838471,69.23,71.75,0:00:59.938423,0:00:02.240470
20,0.894,1.054,0.009778965073991645,69.53,64.46,0:00:59.930233,0:00:02.207768
21,0.884,0.919,0.009755282581475762,69.95,69.83,0:00:59.896805,0:00:02.229429
22,0.878,0.871,0.00973042679413772,70.06,71.06,0:00:59.973844,0:00:02.199068
23,0.874,0.949,0.00970440384477112,70.39,69.58,0:01:00.060463,0:00:02.274470
24,0.860,0.835,0.00967722015414933,70.95,72.99,0:00:59.803063,0:00:02.249222
25,0.854,0.848,0.00964888242944125,71.03,72.75,0:01:00.112886,0:00:02.205713
26,0.852,0.804,0.009619397662556426,71.14,73.46,0:01:00.102615,0:00:02.243241
27,0.847,0.818,0.009588773128419898,71.47,73.36,0:01:00.085538,0:00:02.204247
28,0.837,0.955,0.009557016383177219,71.73,69.40,0:00:59.700023,0:00:02.322510
29,0.838,1.030,0.009524135262330091,71.65,65.73,0:00:59.686310,0:00:02.195707
30,0.833,0.854,0.009490137878803071,71.92,72.61,0:00:59.632458,0:00:02.196621
31,0.826,0.807,0.009455032620941833,72.24,73.86,0:00:59.729046,0:00:02.208482
32,0.823,0.766,0.009418828150443462,72.37,76.02,0:00:59.591854,0:00:02.214242
33,0.823,0.823,0.009381533400219312,72.32,73.32,0:00:59.725181,0:00:02.200171
34,0.818,0.805,0.00934315757219095,72.58,74.64,0:00:59.634018,0:00:02.204535
35,0.812,0.796,0.009303710135019712,72.58,74.61,0:00:59.730299,0:00:02.231473
36,0.804,0.798,0.009263200821770455,72.86,73.92,0:00:59.800715,0:00:02.221947
37,0.803,0.790,0.009221639627510068,72.77,74.73,0:00:59.764227,0:00:02.227416
38,0.803,0.801,0.009179036806841345,73.10,74.75,0:00:59.530459,0:00:02.198631
39,0.799,0.850,0.009135402871372801,73.13,72.83,0:00:59.844631,0:00:02.234451
40,0.796,0.786,0.00909074858712511,73.07,75.02,0:00:59.917925,0:00:02.222287
41,0.791,0.751,0.00904508497187473,73.35,76.01,0:00:59.922813,0:00:02.227929
42,0.795,0.817,0.008998423292435446,73.28,73.63,0:00:59.828829,0:00:02.224838
43,0.788,0.775,0.008950775061878443,73.56,75.08,0:01:00.573077,0:00:02.225136
44,0.788,0.779,0.008902152036691641,73.61,75.80,0:00:59.866830,0:00:02.228410
45,0.784,0.803,0.008852566213878938,73.76,73.66,0:00:59.581658,0:00:02.196166
46,0.783,0.719,0.008802029828000147,73.73,77.11,0:00:59.538178,0:00:02.207630
47,0.778,0.766,0.00875055534815229,73.95,75.51,0:00:59.636865,0:00:02.202269
48,0.777,0.743,0.008698155474893039,73.78,76.51,0:00:59.729257,0:00:02.227237
49,0.779,0.739,0.008644843137107049,73.77,76.62,0:00:59.939398,0:00:02.202259
50,0.774,0.783,0.008590631488815935,74.15,74.48,0:00:59.863426,0:00:02.205690
51,0.771,0.718,0.008535533905932728,74.13,77.16,0:00:59.999461,0:00:02.244348
52,0.768,0.830,0.008479563982961562,74.19,73.13,0:01:00.047513,0:00:02.237665
53,0.765,0.728,0.008422735529643434,74.48,77.26,0:00:59.957370,0:00:02.214521
54,0.767,0.789,0.008365062567548856,74.62,74.62,0:00:59.867307,0:00:02.193634
55,0.766,0.741,0.00830655932661825,74.51,76.18,0:00:59.962864,0:00:02.196938
56,0.766,0.735,0.008247240241650909,74.24,76.92,0:00:59.730556,0:00:02.220423
57,0.759,0.677,0.00818711994874344,74.78,78.81,0:00:59.810219,0:00:02.332394
58,0.749,0.676,0.008126213281678518,75.10,78.87,0:00:59.989964,0:00:02.237993
59,0.753,0.691,0.008064535268264873,74.82,78.19,0:00:59.966455,0:00:02.232008
60,0.751,0.779,0.008002101126629411,75.05,75.21,0:00:59.891113,0:00:02.228464
61,0.750,0.710,0.007938926261462358,75.25,77.14,0:00:59.871341,0:00:02.226936
62,0.745,0.682,0.007875026260216385,75.37,79.25,0:00:59.879449,0:00:02.234665
63,0.754,0.744,0.007810416889260647,75.05,76.10,0:00:59.902601,0:00:02.219474
64,0.743,0.755,0.007745114089990651,75.21,76.64,0:00:59.955004,0:00:02.232252
65,0.742,0.938,0.007679133974894975,75.20,70.14,0:00:59.977969,0:00:02.222235
66,0.744,0.723,0.007612492823579737,75.23,77.30,0:00:59.787248,0:00:02.189142
67,0.741,0.731,0.00754520707875185,75.49,76.70,0:00:59.821134,0:00:02.220848
