epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used
1,3.057,1.437,0.01,32.92,54.86,0:02:49.370910,0:00:11.727413,yes
2,2.055,0.896,0.009999383162408303,47.19,71.50,0:03:35.747029,0:00:11.807740,yes
3,1.661,0.694,0.009997532801828657,52.84,77.85,0:03:22.086490,0:00:06.717941,yes
4,1.434,0.643,0.00999444937480985,56.04,79.14,0:02:00.028869,0:00:06.518066,yes
5,1.297,0.635,0.009990133642141357,57.68,79.97,0:01:59.078174,0:00:06.528628,yes
6,1.199,0.583,0.009984586668665639,58.96,81.15,0:01:59.106256,0:00:06.552683,yes
7,1.134,0.447,0.009977809823015398,59.73,84.99,0:01:58.932679,0:00:06.543194,yes
8,1.074,0.444,0.009969804777275897,60.26,84.92,0:01:59.150001,0:00:06.248579,yes
9,1.019,0.418,0.009960573506572387,61.84,85.81,0:01:59.444556,0:00:06.549406,yes
10,0.989,0.457,0.009950118288582784,61.96,84.90,0:01:59.163815,0:00:06.251364,yes
11,0.971,0.498,0.009938441702975684,61.93,83.81,0:01:58.972705,0:00:06.247764,yes
12,0.931,0.395,0.009925546630773864,63.10,87.25,0:01:59.063499,0:00:06.548981,yes
13,0.910,0.320,0.009911436253643439,62.75,89.13,0:01:59.136159,0:00:06.537863,yes
14,0.909,0.357,0.009896114053108824,62.59,88.04,0:01:59.072768,0:00:06.249595,yes
15,0.883,0.335,0.009879583809693733,63.12,88.67,0:01:59.063486,0:00:06.257888,yes
16,0.857,0.317,0.009861849601988378,64.11,89.29,0:01:59.213946,0:00:06.526750,yes
17,0.840,0.326,0.00984291580564315,64.43,89.30,0:01:58.997673,0:00:06.534706,yes
18,0.838,0.311,0.009822787092288985,64.46,89.59,0:01:59.208977,0:00:06.535402,yes
19,0.840,0.321,0.00980146842838471,63.68,89.31,0:01:59.040161,0:00:06.233155,yes
20,0.821,0.310,0.009778965073991645,64.26,89.90,0:01:58.922759,0:00:06.519710,yes
21,0.815,0.325,0.009755282581475762,64.15,89.17,0:01:58.944964,0:00:06.228099,yes
22,0.792,0.292,0.00973042679413772,65.57,90.22,0:01:59.105473,0:00:06.540754,yes
23,0.807,0.282,0.00970440384477112,64.23,90.52,0:01:59.408129,0:00:06.523786,yes
24,0.787,0.284,0.00967722015414933,65.21,90.43,0:01:58.834336,0:00:06.222732,yes
25,0.795,0.284,0.00964888242944125,64.86,90.55,0:01:58.744805,0:00:06.518198,yes
26,0.794,0.277,0.009619397662556426,64.15,90.67,0:01:58.798080,0:00:06.520229,yes
27,0.776,0.328,0.009588773128419898,64.94,88.96,0:01:58.824945,0:00:06.230231,yes
28,0.777,0.269,0.009557016383177219,64.55,90.83,0:01:58.839217,0:00:06.539788,yes
