epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,2.039,1.578,0.05,26.45,41.70,0:01:37.720891,0:00:06.425215,yes,no
2,1.835,1.355,0.04999691581204152,36.17,53.45,0:01:37.659333,0:00:06.551406,yes,no
3,1.699,1.185,0.04998766400914329,42.81,59.16,0:01:37.371207,0:00:06.553950,yes,no
4,1.612,1.064,0.049972246874049255,47.04,65.37,0:01:53.467424,0:00:06.588934,yes,no
5,1.536,0.972,0.049950668210706796,50.41,68.85,0:01:37.138570,0:00:06.534648,yes,no
6,1.480,0.984,0.04992293334332821,52.58,67.06,0:01:37.135711,0:00:06.220098,yes,no
7,1.457,0.883,0.04988904911507701,53.62,72.11,0:01:37.819029,0:00:06.621552,yes,no
8,1.436,0.811,0.049849023886379504,54.57,76.95,0:01:38.015830,0:00:06.534032,yes,no
9,1.426,0.802,0.04980286753286196,54.97,75.96,0:01:37.075442,0:00:06.223862,yes,no
10,1.401,0.801,0.049750591442913945,55.76,74.70,0:01:36.959524,0:00:06.239995,yes,no
11,1.389,0.809,0.049692208514878454,56.30,75.09,0:01:37.105261,0:00:06.224947,yes,no
12,1.353,0.840,0.049627733153869355,57.90,74.68,0:01:36.966156,0:00:06.242811,yes,no
13,1.354,0.731,0.049557181268217225,57.72,78.01,0:01:37.033775,0:00:06.581925,yes,no
14,1.374,0.809,0.04948057026554415,57.06,75.01,0:01:37.244196,0:00:06.238306,yes,no
15,1.372,0.750,0.04939791904846869,57.27,77.96,0:01:37.701142,0:00:06.238500,yes,no
16,1.350,0.726,0.04930924800994192,58.17,78.33,0:01:37.291265,0:00:06.529825,yes,no
17,1.342,0.741,0.049214579028215785,58.53,77.71,0:01:37.357185,0:00:06.244992,yes,no
18,1.330,0.690,0.04911393546144496,58.93,78.92,0:01:37.224176,0:00:06.527270,yes,no
19,1.329,0.684,0.049007342141923586,58.98,78.71,0:01:37.093627,0:00:06.244438,yes,no
20,1.332,0.685,0.04889482536995826,58.73,80.74,0:01:37.194492,0:00:06.538418,yes,no
21,1.342,0.696,0.04877641290737885,58.39,80.68,0:01:37.247390,0:00:06.243890,yes,no
22,1.331,0.709,0.04865213397068864,58.82,79.41,0:01:37.048728,0:00:06.225241,yes,no
23,1.326,0.683,0.04852201922385564,59.23,80.68,0:01:36.985999,0:00:06.223528,yes,no
