epoch,train_loss,test_loss,learning_rate,train_acc,test_acc,training_time,testing_time,mixup_used,binary_connect_used
1,2.016,1.442,0.05,28.03,49.29,0:01:47.522459,0:00:05.580078,yes,no
2,1.780,1.358,0.04999691581204152,39.07,53.41,0:01:46.954077,0:00:05.630473,yes,no
3,1.665,1.099,0.04998766400914329,44.62,63.56,0:01:47.078721,0:00:05.633686,yes,no
4,1.588,0.990,0.049972246874049255,48.31,69.82,0:01:47.172978,0:00:05.611577,yes,no
5,1.561,1.093,0.049950668210706796,49.42,62.76,0:01:47.025209,0:00:05.551065,yes,no
6,1.527,0.937,0.04992293334332821,50.71,71.13,0:01:47.207375,0:00:05.641991,yes,no
7,1.500,0.925,0.04988904911507701,52.00,69.62,0:01:47.211348,0:00:05.546344,yes,no
8,1.485,0.884,0.049849023886379504,52.45,71.34,0:01:46.995931,0:00:05.614844,yes,no
9,1.486,0.830,0.04980286753286196,52.52,75.26,0:01:47.008376,0:00:05.647178,yes,no
10,1.500,0.899,0.049750591442913945,52.10,71.44,0:01:47.218541,0:00:05.523395,yes,no
11,1.484,0.832,0.049692208514878454,52.78,73.06,0:01:47.234420,0:00:05.586914,yes,no
12,1.485,1.014,0.049627733153869355,52.81,68.65,0:01:47.171445,0:00:05.542751,yes,no
13,1.459,0.868,0.049557181268217225,53.73,72.80,0:01:47.232392,0:00:05.545978,yes,no
14,1.470,0.945,0.04948057026554415,53.36,70.11,0:01:47.109004,0:00:05.522163,yes,no
15,1.493,0.901,0.04939791904846869,52.55,71.25,0:01:47.299487,0:00:05.547282,yes,no
16,1.461,1.034,0.04930924800994192,54.01,68.78,0:01:47.239414,0:00:05.544320,yes,no
17,1.469,0.875,0.049214579028215785,53.77,72.93,0:01:47.611113,0:00:05.548083,yes,no
18,1.477,0.828,0.04911393546144496,53.27,73.76,0:01:47.138731,0:00:05.519879,yes,no
19,1.465,0.941,0.049007342141923586,53.95,69.84,0:01:46.857395,0:00:05.522780,yes,no
20,1.467,0.931,0.04889482536995826,53.57,71.21,0:01:46.848958,0:00:05.518537,yes,no
21,1.454,0.828,0.04877641290737885,54.22,74.67,0:01:46.831635,0:00:05.514495,yes,no
22,1.465,0.859,0.04865213397068864,53.96,74.83,0:01:47.017469,0:00:05.541742,yes,no
23,1.455,0.820,0.04852201922385564,54.17,76.30,0:01:47.135938,0:00:05.630715,yes,no
